,Prot,Sent,Group,N1,N2,Pred,Code,Sentence,subj_attention,obj_attention
13,6,2,1,P,P,S,S_P-P,Анекдоты про экзамены был обидным для строгого пожилого учителя.,"[0.14693571627140045, 0.0010090713622048497, 0.07586824893951416, 0.0018423424335196614, 0.023539574816823006, 0.03845629096031189, 0.036155298352241516, 0.00993527751415968, 0.08585161715745926, 0.004777784459292889, 0.03935151919722557, 0.00650628050789237]","[0.000557422055862844, 0.0002644738997332752, 0.0013819294981658459, 0.0002098026598105207, 0.04855358228087425, 0.009528756141662598, 0.006130719557404518, 0.001132239238359034, 0.012222631834447384, 0.0008972954819910228, 0.010996511206030846, 0.0019760055001825094]"
14,7,2,1,P,P,P,P_P-P,Анекдоты про экзамены были обидными для строгого пожилого учителя.,"[0.09319213032722473, 0.0008769801934249699, 0.0014764044899493456, 0.0010672331554815173, 0.010363053530454636, 0.010029876604676247, 0.03529507666826248, 0.005920256022363901, 0.10512886941432953, 0.000996963120996952, 0.023768916726112366, 0.006449311506003141]","[0.0008858293294906616, 0.00013225310249254107, 0.00046868083882145584, 0.0001681016874499619, 0.040118586272001266, 0.008875159546732903, 0.008196640759706497, 0.0005499624530784786, 0.03264731541275978, 0.00018916833505500108, 0.009188038296997547, 0.002144409343600273]"
15,8,2,1,S,S,S,S_S-S,Анекдот про экзамен был обидным для строгого пожилого учителя.,"[0.03057638555765152, 0.0009880110155791044, 0.0014506536535918713, 0.000839819316752255, 0.014767353422939777, 0.02052750438451767, 0.055008262395858765, 0.005711905192583799, 0.08950734883546829, 0.0005562745500355959, 0.03459759056568146, 0.004365620203316212]","[0.002359792124480009, 0.0008884028065949678, 0.008376658894121647, 0.0001811035763239488, 0.10270994901657104, 0.01204256247729063, 0.026922864839434624, 0.0005306493840180337, 0.04395225644111633, 0.0006921738968230784, 0.01717272400856018, 0.005432548001408577]"
16,1,3,1,S,P,S,S_S-P,Арка во дворы была проделана в несущей конструкции здания,"[0.298685759305954, 0.000691366964019835, 0.0048545487225055695, 0.0001117341234930791, 0.005777849815785885, 0.019103575497865677, 0.029273485764861107, 0.0124451769515872, 0.12544414401054382, 0.006556171923875809, 0.1045457273721695, 0.023166406899690628]","[0.11688222736120224, 0.0008071649936027825, 0.005259132944047451, 4.3573636503424495e-05, 0.1273115575313568, 0.02272336557507515, 0.007378784008324146, 0.0009214523015543818, 0.08373164385557175, 0.0015368231106549501, 0.02049371972680092, 0.006570696830749512]"
17,2,3,1,S,P,P,P_S-P,Арка во дворы были проделаны в несущей конструкции здания,"[0.2705479860305786, 0.0014727592933923006, 0.06395983695983887, 0.0003827888867817819, 0.003100269939750433, 0.021124565973877907, 0.12751904129981995, 0.0034409724175930023, 0.10731987655162811, 0.011886706575751305, 0.09024351835250854, 0.00663931155577302]","[0.019049543887376785, 0.0012167574604973197, 0.004477407783269882, 0.00013974218745715916, 0.08467251807451248, 0.011953020468354225, 0.008813722059130669, 0.013233639299869537, 0.11835112422704697, 0.002146278042346239, 0.0233849436044693, 0.0055221254006028175]"
18,3,3,1,P,S,S,S_P-S,Арки во двор была проделана в несущей конструкции здания,"[0.4418482780456543, 0.002015790669247508, 0.025862496346235275, 0.0008645365014672279, 0.014838702976703644, 0.027567792683839798, 0.08026770502328873, 0.005383319221436977, 0.18612004816532135, 0.020568737760186195, 0.07938309758901596, 0.007292328868061304]","[0.038693446666002274, 0.0008743847720324993, 0.04225882142782211, 8.858431101543829e-05, 0.20861463248729706, 0.022265246137976646, 0.004955487325787544, 0.0006094661657698452, 0.11806251853704453, 0.00034815602703019977, 0.013307658955454826, 0.002760769799351692]"
19,4,3,1,P,S,P,P_P-S,Арки во двор были проделаны в несущей конструкции здания,"[0.3560798764228821, 0.0002597655984573066, 0.004194074310362339, 4.94598934892565e-05, 0.0014372642617672682, 0.016872501000761986, 0.09290805459022522, 0.004492529667913914, 0.12916119396686554, 0.0026864304672926664, 0.13284948468208313, 0.021321576088666916]","[0.2325076162815094, 0.00017541556735523045, 0.21504347026348114, 3.7412778510770295e-06, 0.1792493313550949, 0.1104590892791748, 0.01135958917438984, 1.816879739635624e-05, 0.3065865933895111, 7.053063745843247e-05, 0.014458095654845238, 0.003425075439736247]"
20,5,3,1,P,P,S,S_P-P,Арки во дворы была проделана в несущей конструкции здания,"[0.4062100946903229, 0.0015781957190483809, 0.024747781455516815, 0.0007714857929386199, 0.013012250885367393, 0.05485504865646362, 0.0879906490445137, 0.005594969727098942, 0.17599326372146606, 0.021076057106256485, 0.06332674622535706, 0.007274034433066845]","[0.03701130300760269, 0.0005760788335464895, 0.00508506316691637, 0.0001324196346104145, 0.10753011703491211, 0.015602901577949524, 0.0032034763135015965, 0.0007569866138510406, 0.05042942613363266, 0.0015891328221186996, 0.020701760426163673, 0.0033466401509940624]"
21,6,3,1,P,P,P,P_P-P,Арки во дворы были проделаны в несущей конструкции здания,"[0.3082517683506012, 0.00021846176241524518, 0.0025186825077980757, 4.321671076468192e-05, 0.0016874356660991907, 0.02146260067820549, 0.06433135271072388, 0.0034204788971692324, 0.11229787766933441, 0.0029777507297694683, 0.10570921003818512, 0.0145327840000391]","[0.09583146870136261, 9.20069360290654e-05, 0.011950604617595673, 4.83491157865501e-06, 0.08023770153522491, 0.04847681149840355, 0.0073035238310694695, 0.002585542155429721, 0.10734298080205917, 0.00041034031892195344, 0.027580078691244125, 0.0037264954298734665]"
22,7,3,1,S,S,S,S_S-S,Арка во двор была проделана в несущей конструкции здания,"[0.3681350648403168, 0.00048355720355175436, 0.00850361306220293, 0.00022856709256302565, 0.006377344019711018, 0.005816777236759663, 0.014660486951470375, 0.005929483566433191, 0.12875661253929138, 0.0016561087686568499, 0.13461518287658691, 0.014600390568375587]","[0.14326538145542145, 0.0006596214952878654, 0.0820140689611435, 8.37370225781342e-06, 0.23164434731006622, 0.10294248908758163, 0.008234165608882904, 7.946854748297483e-05, 0.22575338184833527, 0.00011048278247471899, 0.01274908147752285, 0.006139059085398912]"
23,8,3,1,S,S,P,P_S-S,Арка во двор были проделаны в несущей конструкции здания,"[0.42835521697998047, 0.0010545934783294797, 0.09872253984212875, 0.0004761258023791015, 0.006115938536822796, 0.012405289337038994, 0.11933038383722305, 0.002339485799893737, 0.15720811486244202, 0.00832127034664154, 0.11398284137248993, 0.006199045572429895]","[0.008797445334494114, 0.00069491530302912, 0.08777831494808197, 7.955775072332472e-05, 0.15265443921089172, 0.018020961433649063, 0.007730497512966394, 0.00028937170282006264, 0.1759112924337387, 0.0003135105944238603, 0.009862859733402729, 0.004007184412330389]"
24,1,4,1,S,P,P,P_S-P,Атака на крепости были безуспешными из-за стратегической ошибки полководца.,"[0.2048109471797943, 0.006432835943996906, 0.10513456165790558, 0.020824288949370384, 0.022790275514125824, 0.06880702078342438, 0.2174677848815918, 0.002216949360445142, 0.11724543571472168, 0.007344390265643597, 0.061808597296476364, 0.02246936224400997]","[0.012184086255729198, 0.005216624587774277, 0.0002546581090427935, 0.003018514486029744, 0.04723503440618515, 0.031487155705690384, 0.0034046676009893417, 0.00145766232162714, 0.05471930652856827, 0.0008346084505319595, 0.01894618384540081, 0.006534598767757416]"
25,2,4,1,P,S,S,S_P-S,Атаки на крепость была безуспешной из-за стратегической ошибки полководца.,"[0.2912388741970062, 0.01243571937084198, 0.08656693249940872, 0.0157757718116045, 0.058711934834718704, 0.02809211052954197, 0.07200763374567032, 0.0055290996097028255, 0.14178889989852905, 0.011670591309666634, 0.029639536514878273, 0.030549895018339157]","[7.402957271551713e-05, 0.0003326453152112663, 3.843349259113893e-05, 0.00017126747115980834, 0.04936554655432701, 0.019812431186437607, 0.0015474666142836213, 0.006554212421178818, 0.017986254766583443, 0.00014825421385467052, 0.005895144306123257, 0.002967673121020198]"
26,3,4,1,P,S,P,P_P-S,Атаки на крепость были безуспешными из-за стратегической ошибки полководца.,"[0.06694268435239792, 0.0012503481702879071, 0.0010012008715420961, 0.003262332873418927, 0.0121065778657794, 0.069724902510643, 0.27373653650283813, 0.0006921102176420391, 0.20316751301288605, 0.004452721681445837, 0.02951658144593239, 0.007926915772259235]","[0.0001012711800285615, 1.789372254279442e-05, 0.0004947419511154294, 0.0004220115952193737, 0.07130070775747299, 0.024174438789486885, 0.00011516092490637675, 5.080984237793018e-07, 0.01279914379119873, 1.8697812265600078e-05, 0.004927656147629023, 0.0008170302025973797]"
27,4,4,1,P,P,S,S_P-P,Атаки на крепости была безуспешной из-за стратегической ошибки полководца.,"[0.26051950454711914, 0.01480666734278202, 0.08411906659603119, 0.014523476362228394, 0.04508686065673828, 0.03036624751985073, 0.0710173174738884, 0.005919794552028179, 0.12434598058462143, 0.009764496237039566, 0.031166400760412216, 0.030596178025007248]","[0.05158033221960068, 0.001197276869788766, 0.0014537894167006016, 0.0013585230335593224, 0.08378089964389801, 0.04105217754840851, 0.003138970583677292, 0.0004183467535767704, 0.031845662742853165, 0.0002880285610444844, 0.01454492099583149, 0.004523478914052248]"
28,5,4,1,P,P,P,P_P-P,Атаки на крепости были безуспешными из-за стратегической ошибки полководца.,"[0.05131653696298599, 0.0007221248815767467, 0.0005474225035868585, 0.0024344760458916426, 0.008385838009417057, 0.05725635215640068, 0.25453996658325195, 0.0007597532239742577, 0.12992016971111298, 0.0021873849909752607, 0.02991020679473877, 0.005686844699084759]","[0.01594921573996544, 0.0005724937072955072, 0.001851425739005208, 0.0009656556067056954, 0.09115765243768692, 0.039746515452861786, 0.001142342807725072, 1.1705582437571138e-05, 0.05695965141057968, 5.1705632358789444e-05, 0.012938390485942364, 0.0019005431095138192]"
29,6,4,1,S,S,S,S_S-S,Атака на крепость была безуспешной из-за стратегической ошибки полководца.,"[0.009319119155406952, 0.001100140274502337, 0.00024639832554385066, 0.0006570626283064485, 0.021558281034231186, 0.013595158234238625, 0.0757235437631607, 0.000482313334941864, 0.13831529021263123, 0.0020478672813624144, 0.010824723169207573, 0.006971292197704315]","[0.0003789514594245702, 0.0002251960977446288, 2.111134563165251e-05, 1.5492903912672773e-05, 0.04863791912794113, 0.006614793092012405, 0.00022795601398684084, 1.612596315681003e-05, 0.021048441529273987, 3.060516610275954e-05, 0.001481897896155715, 0.0016059533227235079]"
30,7,4,1,S,S,P,P_S-S,Атака на крепость были безуспешными из-за стратегической ошибки полководца.,"[0.17911633849143982, 0.0055633592419326305, 0.1180875301361084, 0.024021122604608536, 0.030947282910346985, 0.06730629503726959, 0.21550588309764862, 0.0026168478652834892, 0.13983289897441864, 0.010086284950375557, 0.0548735149204731, 0.017981141805648804]","[7.336616545217112e-05, 5.2630621212301776e-05, 0.00027401867555454373, 0.0005554580129683018, 0.018095631152391434, 0.016025591641664505, 0.0003756069636438042, 1.2180912563053425e-05, 0.012336008250713348, 0.0002641121100168675, 0.0068719894625246525, 0.0022953026928007603]"
31,8,4,1,S,P,S,S_S-P,Атака на крепости была безуспешной из-за стратегической ошибки полководца.,"[0.010709213092923164, 0.0011343114310875535, 0.00035258769639767706, 0.00038738391594961286, 0.01474054716527462, 0.015939142554998398, 0.08766768872737885, 0.0004891044809482992, 0.11327992379665375, 0.0013258823892101645, 0.01496952772140503, 0.009588779881596565]","[0.19477155804634094, 0.0018667418044060469, 0.0017061535036191344, 0.0002516004315111786, 0.09535524249076843, 0.024322012439370155, 0.003538297489285469, 9.493360266787931e-05, 0.0474725142121315, 0.00012697561760433018, 0.012418564409017563, 0.004518612287938595]"
32,1,5,1,P,S,S,S_P-S,Билеты в музей был утерян во время уличной демонстрации.,"[0.4802151620388031, 0.0016423463821411133, 0.30013105273246765, 0.005031837150454521, 0.041590575128793716, 0.07516881078481674, 0.14244060218334198, 0.006459774915128946, 0.16671830415725708, 0.008072049356997013, 0.1912572830915451, 0.030298391357064247]","[2.1245572497718967e-05, 0.007404923439025879, 0.007133215665817261, 0.0011636342387646437, 0.15348847210407257, 0.05713173374533653, 0.0007928500999696553, 0.00016185811546165496, 0.03208714351058006, 0.00030164772761054337, 0.02334587275981903, 0.006780526135116816]"
33,2,5,1,P,S,P,P_P-S,Билеты в музей были утеряны во время уличной демонстрации.,"[0.18719156086444855, 4.4745669583790004e-05, 0.0020803622901439667, 2.215408494521398e-05, 0.004712001420557499, 0.011644149199128151, 0.16212819516658783, 0.000313321128487587, 0.22210192680358887, 0.0005002273246645927, 0.05564001202583313, 0.029754865914583206]","[0.0012916733976453543, 6.253067112993449e-05, 0.019007477909326553, 8.199232979677618e-06, 0.18611201643943787, 0.05840266868472099, 0.001439051702618599, 4.8303677431249525e-06, 0.0512034073472023, 2.420742930553388e-05, 0.008467900566756725, 0.00512904766947031]"
34,3,5,1,P,P,S,S_P-P,Билеты в музеи был утерян во время уличной демонстрации.,"[0.45628681778907776, 0.001540641882456839, 0.24144606292247772, 0.0026206013280898333, 0.03978757932782173, 0.08011502772569656, 0.17952315509319305, 0.008645450696349144, 0.17249976098537445, 0.012971066869795322, 0.19719432294368744, 0.03338497877120972]","[0.00041203448199667037, 0.0015078424476087093, 0.004720770753920078, 0.0009510062518529594, 0.07701919227838516, 0.07845983654260635, 0.0011839639628306031, 4.6807941544102505e-05, 0.02624993585050106, 0.00036071627982892096, 0.03706766292452812, 0.005521827843040228]"
35,4,5,1,P,P,P,P_P-P,Билеты в музеи были утеряны во время уличной демонстрации.,"[0.20128384232521057, 6.32392693660222e-05, 0.0016184194246307015, 2.6150179110118188e-05, 0.004130448214709759, 0.018560638651251793, 0.16373269259929657, 0.00045083503937348723, 0.17411604523658752, 0.0005968225304968655, 0.06454502046108246, 0.02510097064077854]","[0.004447384737432003, 2.7673455406329595e-05, 0.002722071949392557, 1.3867633242625743e-05, 0.0881694108247757, 0.12885110080242157, 0.004213709384202957, 1.613156018720474e-05, 0.05425217002630234, 4.453377187019214e-05, 0.025966381654143333, 0.0046888249926269054]"
36,5,5,1,S,S,S,S_S-S,Билет в музей был утерян во время уличной демонстрации.,"[0.2580297589302063, 0.0010056525934487581, 0.028179625049233437, 3.4460283586668083e-06, 0.0177097637206316, 0.0062436326406896114, 0.12693846225738525, 0.00016472722927574068, 0.2522924542427063, 0.0006059487932361662, 0.13107047975063324, 0.01145636010915041]","[0.00046237444621510804, 0.0026154406368732452, 0.07636351138353348, 2.8831399490059084e-08, 0.2516181170940399, 0.0066547691822052, 0.00044921995140612125, 4.551039580746874e-07, 0.035490673035383224, 2.3773684461048106e-06, 0.009847616776823997, 0.0026022528763860464]"
37,6,5,1,S,S,P,P_S-S,Билет в музей были утеряны во время уличной демонстрации.,"[0.3707740008831024, 0.0023215566761791706, 0.14477753639221191, 0.005171679425984621, 0.02921527624130249, 0.05180662125349045, 0.16494151949882507, 0.0039337738417088985, 0.18813379108905792, 0.008934587240219116, 0.0706477016210556, 0.010146248154342175]","[0.0001195077202282846, 0.00015351265028584749, 0.002280931221321225, 0.00015182253264356405, 0.05399729683995247, 0.019243860617280006, 0.00036744255339726806, 4.5720858906861395e-05, 0.02494874782860279, 0.0004015395534224808, 0.006039307452738285, 0.003241510596126318]"
38,7,5,1,S,P,S,S_S-P,Билет в музеи был утерян во время уличной демонстрации.,"[0.2185312658548355, 0.0016802436439320445, 0.036478180438280106, 1.71254578162916e-05, 0.01627817191183567, 0.0242877509444952, 0.1518467366695404, 0.0007232995703816414, 0.22666038572788239, 0.001154541503638029, 0.16069380939006805, 0.02869442105293274]","[0.022170796990394592, 0.0020753827411681414, 0.01369201485067606, 7.01428325555753e-06, 0.1279698610305786, 0.04535744711756706, 0.0020378390327095985, 3.0964913548814366e-06, 0.03680534288287163, 1.4759339137526695e-05, 0.047170042991638184, 0.004147087689489126]"
39,8,5,1,S,P,P,P_S-P,Билет в музеи были утеряны во время уличной демонстрации.,"[0.38683444261550903, 0.002503632800653577, 0.046288441866636276, 0.004597007296979427, 0.014774898998439312, 0.050828300416469574, 0.15334253013134003, 0.004942629020661116, 0.14514125883579254, 0.009476805105805397, 0.06978297233581543, 0.012239323928952217]","[0.0007041949429549277, 0.000459556991700083, 0.0013068176340311766, 0.00017857298371382058, 0.06866370886564255, 0.05664226412773132, 0.0029286802746355534, 0.0009195605525746942, 0.059019964188337326, 0.0011200018925592303, 0.02131919376552105, 0.003993010614067316]"
40,1,6,1,P,S,P,P_P-S,Взгляды на снимок были брошены из-под длинных опущенных ресниц.,"[0.17580156028270721, 0.00030222226632758975, 0.003523658262565732, 3.029278104804689e-06, 0.005806145258247852, 0.04531989246606827, 0.09885210543870926, 0.017765499651432037, 0.14529244601726532, 0.0038174085784703493, 0.08512819558382034, 0.03512759879231453]","[0.010280074551701546, 2.7916332328459248e-05, 0.001609407365322113, 8.169047873707314e-07, 0.06325995177030563, 0.2146342545747757, 0.00039828807348385453, 0.0009018026175908744, 0.020053710788488388, 9.724262781674042e-06, 0.005310222040861845, 0.001260015880689025]"
41,2,6,1,P,P,S,S_P-P,Взгляды на снимки был брошен из-под длинных опущенных ресниц.,"[0.3122488856315613, 0.0021788254380226135, 0.12217000126838684, 0.0005495946388691664, 0.012843872420489788, 0.04741799831390381, 0.14651542901992798, 0.07405915856361389, 0.14741002023220062, 0.013459772802889347, 0.17315687239170074, 0.07197212427854538]","[0.005661752540618181, 0.0025658642407506704, 0.0033657634630799294, 0.00018120743334293365, 0.06649953126907349, 0.06771630048751831, 0.0007211547926999629, 0.0021520068403333426, 0.017979975789785385, 0.00018716086924541742, 0.007607014384120703, 0.008016812615096569]"
42,3,6,1,P,P,P,P_P-P,Взгляды на снимки были брошены из-под длинных опущенных ресниц.,"[0.12050098925828934, 0.00022897457529325038, 0.00287356018088758, 1.1423013575040386e-06, 0.00483135599642992, 0.05951925367116928, 0.06665980070829391, 0.01351297926157713, 0.12957826256752014, 0.001801065867766738, 0.09254381060600281, 0.03879433497786522]","[0.016216013580560684, 0.0001080872243619524, 0.0018519855802878737, 3.540000761859119e-06, 0.07217226177453995, 0.17923250794410706, 0.0005716748419217765, 0.002260486828163266, 0.03836547210812569, 6.783960088796448e-06, 0.0020727687515318394, 0.0014462299877777696]"
43,4,6,1,S,S,S,S_S-S,Взгляд на снимок был брошен из-под длинных опущенных ресниц.,"[0.13351105153560638, 0.0018373782513663173, 0.03488262742757797, 4.418142452777829e-06, 0.018614687025547028, 0.01103783119469881, 0.06407508254051208, 0.010686268098652363, 0.21844054758548737, 0.0009598417091183364, 0.1459086686372757, 0.07356756180524826]","[0.057330768555402756, 0.0002632162068039179, 0.027337459847331047, 6.304409225776908e-07, 0.09423711150884628, 0.10034918040037155, 0.0005793962045572698, 0.0004694733361247927, 0.015488316304981709, 3.959465630032355e-06, 0.010988567024469376, 0.0044808113016188145]"
44,5,6,1,S,S,P,P_S-S,Взгляд на снимок были брошены из-под длинных опущенных ресниц.,"[0.3883846402168274, 0.0011125309392809868, 0.18341346085071564, 9.67251617112197e-05, 0.011578897945582867, 0.011982856318354607, 0.07482282817363739, 0.024601705372333527, 0.1314031332731247, 0.0064396909438073635, 0.11622679233551025, 0.016143320128321648]","[0.0020447238348424435, 5.455833888845518e-05, 0.00026289484230801463, 1.2190253983135335e-05, 0.04967265948653221, 0.08128833025693893, 0.0004926103865727782, 0.0010386998765170574, 0.014671370387077332, 0.00010030936391558498, 0.012727421708405018, 0.00208110804669559]"
45,6,6,1,S,P,S,S_S-P,Взгляд на снимки был брошен из-под длинных опущенных ресниц.,"[0.06111997365951538, 0.0012853603111580014, 0.03415035083889961, 4.301947683416074e-06, 0.014787639491260052, 0.018518123775720596, 0.06874126940965652, 0.013280347920954227, 0.20926952362060547, 0.0013036098098382354, 0.18436606228351593, 0.0760137140750885]","[0.06623847782611847, 0.001988526899367571, 0.016995903104543686, 5.66416520086932e-06, 0.1028280258178711, 0.12913167476654053, 0.00043442772584967315, 0.0005991013604216278, 0.02623697929084301, 2.097954165947158e-06, 0.00578956538811326, 0.007607134524732828]"
