,Prot,Sent,Group,N1,N2,Pred,Code,Sentence,subj_attention,obj_attention
11,4,2,1,P,S,S,S_P-S,Анекдоты про экзамен был обидным для строгого пожилого учителя.,"[0.00041141046676784754, 0.0007353471592068672, 0.0034589010756462812, 0.0028011379763484, 0.002278153318911791, 0.002083906438201666, 4.9493064580019563e-05, 0.0016200316604226828, 0.001314969384111464, 0.0009533013799227774, 0.001477487152442336, 0.0022036272566765547]","[9.866899199550971e-05, 0.00021958355500828475, 0.0017289561219513416, 0.0009561755578033626, 0.000651299487799406, 0.0008510704501532018, 0.00012832751963287592, 0.0002170142688555643, 0.00020111129560973495, 0.0002032586926361546, 0.000485027878312394, 0.00029903309768997133]"
12,5,2,1,P,S,P,P_P-S,Анекдоты про экзамен были обидными для строгого пожилого учителя.,"[0.0006637482438236475, 0.0024233097210526466, 0.0015508136712014675, 0.005581194534897804, 0.0031538279727101326, 0.0014142011059448123, 4.5837281504645944e-05, 0.0026060333475470543, 0.001487020985223353, 0.0006521099712699652, 0.002567391376942396, 0.0042179119773209095]","[9.698080248199403e-05, 0.0005211975076235831, 0.0010039984481409192, 0.0007923759403638542, 0.0007741759181953967, 0.0006379944388754666, 9.804034925764427e-05, 0.00016764260362833738, 0.0002348395501030609, 0.00012217821495141834, 0.0007921851356513798, 0.00042681721970438957]"
13,6,2,1,P,P,S,S_P-P,Анекдоты про экзамены был обидным для строгого пожилого учителя.,"[0.00045050872722640634, 0.0011891754111275077, 0.004488876089453697, 0.0037727286107838154, 0.002716071903705597, 0.0033585091587156057, 0.00010333178215660155, 0.0022375176195055246, 0.0016981615917757154, 0.0010156788630411029, 0.0028733625076711178, 0.00292174331843853]","[0.00020997489627916366, 0.00027679631602950394, 0.0011817222693935037, 0.001517539843916893, 0.0009458426502533257, 0.0017334966687485576, 0.00026254149270243943, 0.00018175771401729435, 0.0001434401492588222, 0.00033679898479022086, 0.0005490581388585269, 0.0003285585844423622]"
14,7,2,1,P,P,P,P_P-P,Анекдоты про экзамены были обидными для строгого пожилого учителя.,"[0.0006206214311532676, 0.0022228285670280457, 0.0014730492839589715, 0.005244992673397064, 0.0030495261307805777, 0.0011787205003201962, 4.0266440919367597e-05, 0.0024787632282823324, 0.0011944592697545886, 0.0006960744503885508, 0.002227068180218339, 0.0043214294128119946]","[8.223101031035185e-05, 0.0004804328491445631, 0.000993656343780458, 0.000721240125130862, 0.0006602229550480843, 0.0006989443209022284, 9.071305976249278e-05, 9.65285871643573e-05, 0.00020728666277136654, 0.00014907850709278136, 0.0006687913555651903, 0.0005267811939120293]"
15,8,2,1,S,S,S,S_S-S,Анекдот про экзамен был обидным для строгого пожилого учителя.,"[0.0005982377915643156, 0.0017286755610257387, 0.0047098007053136826, 0.00798329059034586, 0.0025420261081308126, 0.001971186138689518, 7.649292820133269e-05, 0.0036239363253116608, 0.0021362185943871737, 0.0007784403278492391, 0.0023602971341460943, 0.003956880886107683]","[8.655505371280015e-05, 0.0003364010190125555, 0.0010327062336727977, 0.0010931320721283555, 0.0004956179182045162, 0.0008466997533105314, 8.749450353207067e-05, 0.0001633684296393767, 0.0003909579536411911, 8.158342097885907e-05, 0.0007346995989792049, 0.00041051043081097305]"
16,1,3,1,S,P,S,S_S-P,Арка во дворы была проделана в несущей конструкции здания,"[0.019256126135587692, 0.025078920647501945, 0.1156659945845604, 0.02031760662794113, 0.03486523777246475, 0.06799514591693878, 0.07263820618391037, 0.016867896541953087, 0.01285601407289505, 0.013564430177211761, 0.011538159102201462, 0.020527377724647522]","[0.0032704549375921488, 0.0007731671794317663, 0.10175255686044693, 0.0017158965347334743, 0.060861144214868546, 0.029131362214684486, 0.015101637691259384, 0.010269802995026112, 0.0004076339246239513, 0.06429889798164368, 0.00011860645463457331, 0.0021563032642006874]"
17,2,3,1,S,P,P,P_S-P,Арка во дворы были проделаны в несущей конструкции здания,"[0.02285896986722946, 0.03857201337814331, 0.058854442089796066, 0.011807500384747982, 0.035969629883766174, 0.07074403017759323, 0.021875545382499695, 0.00862102210521698, 0.007920274510979652, 0.013382353819906712, 0.016643444076180458, 0.01847074367105961]","[0.008345861919224262, 0.002741037169471383, 0.06694110482931137, 0.009375352412462234, 0.08303440362215042, 0.032722342759370804, 0.022073229774832726, 0.024333233013749123, 0.001732364296913147, 0.05883581563830376, 0.0007839081808924675, 0.006453727837651968]"
18,3,3,1,P,S,S,S_P-S,Арки во двор была проделана в несущей конструкции здания,"[0.016960719600319862, 0.011280380189418793, 0.044771865010261536, 0.007917962037026882, 0.0220200028270483, 0.0633733943104744, 0.049147263169288635, 0.03142094984650612, 0.0055547296069562435, 0.008722574450075626, 0.00560765340924263, 0.011479848064482212]","[0.008090854622423649, 0.0020360895432531834, 0.15216279029846191, 0.003879145486280322, 0.06805548816919327, 0.049816448241472244, 0.03476054593920708, 0.03502926230430603, 0.0007359823794104159, 0.083803690969944, 0.0002647680521477014, 0.0026175843086093664]"
19,4,3,1,P,S,P,P_P-S,Арки во двор были проделаны в несущей конструкции здания,"[0.012250796891748905, 0.018561089411377907, 0.03285035863518715, 0.008402160368859768, 0.013850122690200806, 0.054548412561416626, 0.024024439975619316, 0.0315498448908329, 0.006535930559039116, 0.008836775086820126, 0.006151782814413309, 0.014863215386867523]","[0.012014518491923809, 0.003349046455696225, 0.13061007857322693, 0.0059199705719947815, 0.08470069617033005, 0.05258040502667427, 0.025809362530708313, 0.04046120494604111, 0.0010117170168086886, 0.07729662209749222, 0.0006378568359650671, 0.005306992679834366]"
20,5,3,1,P,P,S,S_P-P,Арки во дворы была проделана в несущей конструкции здания,"[0.01213028933852911, 0.010290627367794514, 0.03632010519504547, 0.008778780698776245, 0.023219266906380653, 0.047166988253593445, 0.039648864418268204, 0.028522275388240814, 0.005548812448978424, 0.008020787499845028, 0.0045877196826040745, 0.010213683359324932]","[0.002615818753838539, 0.0009215690079145133, 0.08301485329866409, 0.0016901134513318539, 0.06203315779566765, 0.02513251267373562, 0.020652025938034058, 0.016315588727593422, 0.0007447405369020998, 0.06706860661506653, 0.00013681976997759193, 0.0023372406139969826]"
21,6,3,1,P,P,P,P_P-P,Арки во дворы были проделаны в несущей конструкции здания,"[0.010289974510669708, 0.018362367525696754, 0.03230714425444603, 0.009575864300131798, 0.01396882627159357, 0.04331269860267639, 0.023016775026917458, 0.027677036821842194, 0.00585331954061985, 0.008100449107587337, 0.00608779676258564, 0.014486507512629032]","[0.00482305558398366, 0.002903927816078067, 0.07371643930673599, 0.004987743217498064, 0.07162842899560928, 0.024542221799492836, 0.017055487260222435, 0.02329072542488575, 0.0021792117040604353, 0.04762708768248558, 0.0007233945070765913, 0.009377085603773594]"
22,7,3,1,S,S,S,S_S-S,Арка во двор была проделана в несущей конструкции здания,"[0.018240638077259064, 0.02438279800117016, 0.1269303411245346, 0.022569144144654274, 0.02783680520951748, 0.07414311915636063, 0.07352430373430252, 0.01740860380232334, 0.013191872276365757, 0.011991366744041443, 0.010705389082431793, 0.027082011103630066]","[0.008436646312475204, 0.0017966899322345853, 0.09418591111898422, 0.0039551579393446445, 0.05397437885403633, 0.0515466146171093, 0.018967805430293083, 0.022069407626986504, 0.0005948616308160126, 0.06016327813267708, 0.0002494838845450431, 0.00307520292699337]"
23,8,3,1,S,S,P,P_S-S,Арка во двор были проделаны в несущей конструкции здания,"[0.021304002031683922, 0.04596520587801933, 0.06283587217330933, 0.01635012775659561, 0.028742263093590736, 0.06470199674367905, 0.019735364243388176, 0.008423490449786186, 0.01077225711196661, 0.010675414465367794, 0.02009495161473751, 0.022705497220158577]","[0.010559666901826859, 0.002882179571315646, 0.060534197837114334, 0.010005561634898186, 0.054325077682733536, 0.053088221698999405, 0.022076575085520744, 0.025864480063319206, 0.0008924752473831177, 0.05657311901450157, 0.0008533081854693592, 0.004205173347145319]"
24,1,4,1,S,P,P,P_S-P,Атака на крепости были безуспешными из-за стратегической ошибки полководца.,"[2.587984454294201e-05, 0.0028352297376841307, 0.010067056864500046, 0.034786004573106766, 0.0011278504971414804, 0.0004599291132763028, 4.8618545406498015e-05, 0.0012768548913300037, 0.0010235264198854566, 1.1104545592388604e-05, 0.014912367798388004, 0.00699845002964139]","[3.7064237403683364e-05, 0.0015613209689036012, 0.0006059747538529336, 0.006052254233509302, 0.0007047944236546755, 0.0006545991636812687, 0.0001733837416395545, 0.0007431521080434322, 0.000561119057238102, 7.194165664259344e-05, 0.002502374118193984, 0.0009529129602015018]"
25,2,4,1,P,S,S,S_P-S,Атаки на крепость была безуспешной из-за стратегической ошибки полководца.,"[6.817702524131164e-05, 0.0086772246286273, 0.010183586739003658, 0.07621768862009048, 0.004721831530332565, 0.0009680437506176531, 0.0003333860368002206, 0.0018136684084311128, 0.001895151217468083, 3.184357410646044e-05, 0.020838716998696327, 0.03216449171304703]","[9.394936932949349e-05, 0.006667400244623423, 0.0007229261100292206, 0.010140829719603062, 0.0016323287272825837, 0.0009199854102917016, 0.0007641995325684547, 0.0010340189328417182, 0.0010079477215185761, 0.00023403893283102661, 0.005172386299818754, 0.0023148979526013136]"
26,3,4,1,P,S,P,P_P-S,Атаки на крепость были безуспешными из-за стратегической ошибки полководца.,"[1.0920248314505443e-05, 0.005050638224929571, 0.0032831327989697456, 0.07490972429513931, 0.0004794227425009012, 0.0003975906001869589, 3.444105459493585e-05, 0.0014979577390477061, 0.0038411018904298544, 7.1319559538096655e-06, 0.02826153300702572, 0.014981559477746487]","[1.7776910681277514e-05, 0.0016295709647238255, 0.0005918011884205043, 0.004995230119675398, 0.0004792292893398553, 0.0006167544052004814, 0.0001496586628491059, 0.0007683208677917719, 0.0007517251651734114, 6.281285459408537e-05, 0.004654904827475548, 0.0006759956595487893]"
27,4,4,1,P,P,S,S_P-P,Атаки на крепости была безуспешной из-за стратегической ошибки полководца.,"[7.72548301029019e-05, 0.009859557263553143, 0.008292519487440586, 0.07510411739349365, 0.004618941340595484, 0.0012023570016026497, 0.00035742647014558315, 0.0016211433103308082, 0.0016810176894068718, 2.9478602300514467e-05, 0.023017071187496185, 0.03393883630633354]","[8.315200102515519e-05, 0.005688934121280909, 0.0006006585317663848, 0.006225332617759705, 0.0015515709528699517, 0.0010330436052754521, 0.0005472486955113709, 0.0009590137633495033, 0.0007537212804891169, 0.0002111907087964937, 0.0035400514025241137, 0.0018686325056478381]"
28,5,4,1,P,P,P,P_P-P,Атаки на крепости были безуспешными из-за стратегической ошибки полководца.,"[1.3280522580316756e-05, 0.0048500411212444305, 0.0033227165695279837, 0.06428773701190948, 0.000431400490924716, 0.0005324271623976529, 3.409020064282231e-05, 0.0014006462879478931, 0.003386758267879486, 7.5827824730367865e-06, 0.026420975103974342, 0.017552662640810013]","[2.0158269762760028e-05, 0.001793817151337862, 0.0003486007044557482, 0.004945540335029364, 0.00033033464569598436, 0.0006559756584465504, 0.00010066034883493558, 0.0007664905278943479, 0.0010414309799671173, 5.197913196752779e-05, 0.0038211119826883078, 0.0010908918920904398]"
29,6,4,1,S,S,S,S_S-S,Атака на крепость была безуспешной из-за стратегической ошибки полководца.,"[5.803567182738334e-05, 0.009836179204285145, 0.010278202593326569, 0.09004318714141846, 0.002422083169221878, 0.0010154306655749679, 0.0002715729642659426, 0.001983983675017953, 0.003641529008746147, 3.0143448384478688e-05, 0.017786143347620964, 0.016647210344672203]","[7.245584856718779e-05, 0.0050041996873915195, 0.0006713552284054458, 0.008717972785234451, 0.001022927463054657, 0.0007776518468745053, 0.0004462204815354198, 0.0010324119357392192, 0.0012880903668701649, 8.753836300456896e-05, 0.0034099947661161423, 0.0017939569661393762]"
30,7,4,1,S,S,P,P_S-S,Атака на крепость были безуспешными из-за стратегической ошибки полководца.,"[2.236465115856845e-05, 0.003858002834022045, 0.011266020126640797, 0.056202054023742676, 0.0012406724272295833, 0.0004127517167944461, 5.9895366575801745e-05, 0.0015348023734986782, 0.0016544779064133763, 1.007809169095708e-05, 0.02431877702474594, 0.008701018989086151]","[3.492848190944642e-05, 0.0013295008102431893, 0.0009982954943552613, 0.006243553012609482, 0.0008673598640598357, 0.0005956501117907465, 0.0002782029041554779, 0.0007391555118374527, 0.0004569162556435913, 6.482139724539593e-05, 0.003155739279463887, 0.0006303985719569027]"
31,8,4,1,S,P,S,S_S-P,Атака на крепости была безуспешной из-за стратегической ошибки полководца.,"[5.546106331166811e-05, 0.009285660460591316, 0.008565704338252544, 0.07611370086669922, 0.0020274322014302015, 0.0011781153734773397, 0.00026772214914672077, 0.0014608901692554355, 0.003227385925129056, 2.6888272259384394e-05, 0.014986312948167324, 0.015066276304423809]","[5.4607346100965515e-05, 0.003967911470681429, 0.0007880884222686291, 0.0046940757893025875, 0.0009118846501223743, 0.0008330402779392898, 0.0002752954314928502, 0.0008956001256592572, 0.0007660326082259417, 9.267203131457791e-05, 0.0025374528486281633, 0.0012940870365127921]"
32,1,5,1,P,S,S,S_P-S,Билеты в музей был утерян во время уличной демонстрации.,"[0.009892376139760017, 0.00688514718785882, 0.034556660801172256, 0.028918445110321045, 0.2334405928850174, 0.053613848984241486, 0.012295597232878208, 0.02733204886317253, 0.005729015916585922, 0.004720944445580244, 0.010819429531693459, 0.039776623249053955]","[0.0058041587471961975, 0.019419150426983833, 0.02761978469789028, 0.00947529636323452, 0.013664264231920242, 0.02283962070941925, 0.01965930312871933, 0.006125179119408131, 0.016417425125837326, 0.007841771468520164, 0.017361029982566833, 0.014013879001140594]"
33,2,5,1,P,S,P,P_P-S,Билеты в музей были утеряны во время уличной демонстрации.,"[0.0051606763154268265, 0.009701680392026901, 0.012780524790287018, 0.025464799255132675, 0.1853923499584198, 0.016582578420639038, 0.004274911247193813, 0.00827579852193594, 0.00460729468613863, 0.003328988328576088, 0.006334472447633743, 0.02588585764169693]","[0.0013219630345702171, 0.011230790987610817, 0.02120998315513134, 0.003723305184394121, 0.007574355695396662, 0.007109168916940689, 0.005173047073185444, 0.001644017407670617, 0.006944981403648853, 0.006218628026545048, 0.007096213288605213, 0.0030303962994366884]"
34,3,5,1,P,P,S,S_P-P,Билеты в музеи был утерян во время уличной демонстрации.,"[0.012373777106404305, 0.011455908417701721, 0.03691921755671501, 0.038788676261901855, 0.18573200702667236, 0.07614347338676453, 0.01982242427766323, 0.05083935707807541, 0.009877913631498814, 0.004159336909651756, 0.01463019847869873, 0.04297591745853424]","[0.0040327319875359535, 0.013058479875326157, 0.0064012701623141766, 0.007294518407434225, 0.028280634433031082, 0.033195022493600845, 0.007113742642104626, 0.008613336831331253, 0.012400869280099869, 0.00904800370335579, 0.009175549261271954, 0.012864057905972004]"
35,4,5,1,P,P,P,P_P-P,Билеты в музеи были утеряны во время уличной демонстрации.,"[0.006462473422288895, 0.010308954864740372, 0.014238189905881882, 0.024310007691383362, 0.14695501327514648, 0.018165692687034607, 0.006514060776680708, 0.010491851717233658, 0.0066053494811058044, 0.003482583211734891, 0.006221153773367405, 0.028118303045630455]","[0.001241487916558981, 0.01074751652777195, 0.006409092340618372, 0.003881728043779731, 0.013305756263434887, 0.007599974051117897, 0.002261847723275423, 0.0024633510038256645, 0.008913720957934856, 0.005294166970998049, 0.005356679670512676, 0.00553155317902565]"
36,5,5,1,S,S,S,S_S-S,Билет в музей был утерян во время уличной демонстрации.,"[0.0031567031983286142, 0.008914170786738396, 0.027250973507761955, 0.021240144968032837, 0.04177715256810188, 0.01440484169870615, 0.009505312889814377, 0.008082771673798561, 0.0051743220537900925, 0.0015415879897773266, 0.004045678768306971, 0.0112862354144454]","[0.0024524470791220665, 0.02276158519089222, 0.01095021516084671, 0.005251478403806686, 0.014289387501776218, 0.009005111642181873, 0.00756858428940177, 0.002593440003693104, 0.01172662153840065, 0.005135341547429562, 0.01273353397846222, 0.008533126674592495]"
37,6,5,1,S,S,P,P_S-S,Билет в музей были утеряны во время уличной демонстрации.,"[0.014315390959382057, 0.007064048200845718, 0.030489323660731316, 0.03493255749344826, 0.08724034577608109, 0.05236373096704483, 0.026961732655763626, 0.012217649258673191, 0.0051399217918515205, 0.003000999800860882, 0.006630227901041508, 0.019118277356028557]","[0.008669327944517136, 0.018422206863760948, 0.0282837375998497, 0.013224372640252113, 0.03390685096383095, 0.02577928453683853, 0.019775554537773132, 0.007145998068153858, 0.016171542927622795, 0.014325518161058426, 0.010180272161960602, 0.008847629651427269]"
38,7,5,1,S,P,S,S_S-P,Билет в музеи был утерян во время уличной демонстрации.,"[0.00345214968547225, 0.01060233823955059, 0.03020266816020012, 0.018123872578144073, 0.03795601800084114, 0.015488986857235432, 0.011491583660244942, 0.009615929797291756, 0.00755519513040781, 0.001463037682697177, 0.004311572294682264, 0.012918827123939991]","[0.00121795863378793, 0.009041800163686275, 0.005332767032086849, 0.0036179188173264265, 0.019096646457910538, 0.008118145167827606, 0.0014084730064496398, 0.002479925286024809, 0.0036947871558368206, 0.005052162799984217, 0.006548396311700344, 0.005474035162478685]"
39,8,5,1,S,P,P,P_S-P,Билет в музеи были утеряны во время уличной демонстрации.,"[0.009089905768632889, 0.006453356239944696, 0.02687057852745056, 0.020521631464362144, 0.0650891661643982, 0.03401597589254379, 0.02203921601176262, 0.009913014248013496, 0.005015689879655838, 0.002352240029722452, 0.005322741810232401, 0.01570427604019642]","[0.005906008183956146, 0.017231207340955734, 0.009684917517006397, 0.009986300021409988, 0.04640437662601471, 0.018686790019273758, 0.004784916061908007, 0.00623698253184557, 0.013902612961828709, 0.012991403229534626, 0.008445288054645061, 0.014166641980409622]"
40,1,6,1,P,S,P,P_P-S,Взгляды на снимок были брошены из-под длинных опущенных ресниц.,"[0.003204957814887166, 0.008130533620715141, 0.00817209854722023, 0.007152647711336613, 0.08592075109481812, 0.006958451587706804, 0.002243732800707221, 0.005534915719181299, 0.012741999700665474, 0.017211392521858215, 0.001857129274867475, 0.00669067120179534]","[0.0011081857373937964, 0.0068087270483374596, 0.011583246290683746, 0.012019522488117218, 0.008165164850652218, 0.010235456749796867, 0.0013166811550036073, 0.002271139994263649, 0.006615142337977886, 0.015710018575191498, 0.00206203805282712, 0.004668327979743481]"
41,2,6,1,P,P,S,S_P-P,Взгляды на снимки был брошен из-под длинных опущенных ресниц.,"[0.010004512965679169, 0.0014415144687518477, 0.01637175865471363, 0.0031114546582102776, 0.16387148201465607, 0.014125172048807144, 0.0072573344223201275, 0.00531485490500927, 0.0029085935093462467, 0.02052023634314537, 0.0033040838316082954, 0.004731739405542612]","[0.002179258968681097, 0.007324894890189171, 0.006578854285180569, 0.00876950565725565, 0.024415310472249985, 0.05028736591339111, 0.007311428897082806, 0.006234404165297747, 0.0075716362334787846, 0.008460315875709057, 0.0015059036668390036, 0.003669670782983303]"
42,3,6,1,P,P,P,P_P-P,Взгляды на снимки были брошены из-под длинных опущенных ресниц.,"[0.003793085226789117, 0.004351886920630932, 0.007004242390394211, 0.005039396695792675, 0.09640663862228394, 0.0071472362615168095, 0.0021362497936934233, 0.004983979277312756, 0.006879008375108242, 0.017052268609404564, 0.001279424293898046, 0.004338961094617844]","[0.0009285897249355912, 0.011384813115000725, 0.005979403853416443, 0.012221534736454487, 0.009196437895298004, 0.012429963797330856, 0.0014169909991323948, 0.0029224231839179993, 0.016206054016947746, 0.012348183430731297, 0.0017345481319352984, 0.0075483620166778564]"
43,4,6,1,S,S,S,S_S-S,Взгляд на снимок был брошен из-под длинных опущенных ресниц.,"[0.0029067229479551315, 0.00844648852944374, 0.03185897693037987, 0.026382364332675934, 0.13284777104854584, 0.00720857921987772, 0.0016930319834500551, 0.015721971169114113, 0.012291932478547096, 0.03261273354291916, 0.005293979309499264, 0.01678312197327614]","[0.00061712198657915, 0.006306980736553669, 0.012628449127078056, 0.01729440875351429, 0.007225133012980223, 0.007999608293175697, 0.002113013295456767, 0.0020265791099518538, 0.006745630409568548, 0.015199821442365646, 0.0025779237039387226, 0.003951241262257099]"
44,5,6,1,S,S,P,P_S-S,Взгляд на снимок были брошены из-под длинных опущенных ресниц.,"[0.005488651338964701, 0.006985388696193695, 0.01193391252309084, 0.024470672011375427, 0.25093165040016174, 0.025053882971405983, 0.002455403795465827, 0.024458738043904305, 0.009306291118264198, 0.018429085612297058, 0.005814097821712494, 0.025570541620254517]","[0.0021243863739073277, 0.008814002387225628, 0.01559506356716156, 0.015490798279643059, 0.009669050574302673, 0.02123640663921833, 0.004286964889615774, 0.004987496417015791, 0.009161869063973427, 0.029789093881845474, 0.0022167020943015814, 0.005609254352748394]"
45,6,6,1,S,P,S,S_S-P,Взгляд на снимки был брошен из-под длинных опущенных ресниц.,"[0.004976618103682995, 0.008584218099713326, 0.03149266541004181, 0.018721718341112137, 0.16101454198360443, 0.008273370563983917, 0.0028190503362566233, 0.010576902888715267, 0.011728284880518913, 0.03738369047641754, 0.0037379153072834015, 0.013393414206802845]","[0.0006325461436063051, 0.005403195042163134, 0.008904309943318367, 0.012636641040444374, 0.009240720421075821, 0.016006583347916603, 0.0016085173701867461, 0.0016097835032269359, 0.005640324205160141, 0.019266949966549873, 0.001626666635274887, 0.0032718926668167114]"
