,Prot,Sent,Group,N1,N2,Pred,Code,Sentence,subj_attention,obj_attention
10,3,2,1,S,P,P,P_S-P,Анекдот про экзамены были обидными для строгого пожилого учителя.,"[0.020889833569526672, 0.0032025871332734823, 0.06393558531999588, 0.01717059127986431, 0.047077637165784836, 0.06534454226493835, 0.04997476562857628, 0.02766178548336029, 0.00681257015094161, 0.00846633967012167, 0.0077554588206112385, 0.008990024216473103]","[0.0021088316570967436, 0.00047632408677600324, 0.0024450835771858692, 0.0017903620610013604, 0.0002517766843084246, 0.020177429541945457, 0.0032299570739269257, 0.002516702748835087, 0.003186562331393361, 0.0003915665438398719, 0.0012783040292561054, 0.0005192097160033882]"
11,4,2,1,P,S,S,S_P-S,Анекдоты про экзамен был обидным для строгого пожилого учителя.,"[0.004937646444886923, 0.0013540630461648107, 0.038944561034440994, 0.0038420227356255054, 0.018394777551293373, 0.05200701951980591, 0.027371106669306755, 0.009388200007379055, 0.0028767744079232216, 0.007439946755766869, 0.0026900654193013906, 0.0022028079256415367]","[0.002947744680568576, 0.0005914831417612731, 0.0019185477867722511, 0.001955103361979127, 0.00032252862001769245, 0.011080886237323284, 0.003961982671171427, 0.0036233682185411453, 0.0025679904501885176, 0.0004441772762220353, 0.0010686315363273025, 0.0005840414087288082]"
12,5,2,1,P,S,P,P_P-S,Анекдоты про экзамен были обидными для строгого пожилого учителя.,"[0.007713330443948507, 0.003028065897524357, 0.03094000741839409, 0.006261582486331463, 0.02117253839969635, 0.05439820885658264, 0.02049638330936432, 0.012002987787127495, 0.0039666988886892796, 0.00930250808596611, 0.0035947179421782494, 0.004192837048321962]","[0.0023595422971993685, 0.00048778895870782435, 0.0013827347429469228, 0.0019659949466586113, 0.00019636766228359193, 0.008416525088250637, 0.0022740585263818502, 0.00247000134550035, 0.0020521855913102627, 0.0003258798096794635, 0.0007020300254225731, 0.00034806528128683567]"
13,6,2,1,P,P,S,S_P-P,Анекдоты про экзамены был обидным для строгого пожилого учителя.,"[0.005684010684490204, 0.0017851886805146933, 0.02621019445359707, 0.005711238831281662, 0.01695227436721325, 0.03947734832763672, 0.020051652565598488, 0.012022310867905617, 0.0041277590207755566, 0.005162668414413929, 0.004549856763333082, 0.002865925896912813]","[0.001183115760795772, 0.000224894261918962, 0.00221392628736794, 0.0007199609535746276, 0.0002267335803480819, 0.018161341547966003, 0.002429794520139694, 0.0028267286252230406, 0.001571207889355719, 0.0003410636854823679, 0.0010664882138371468, 0.0001942090893862769]"
14,7,2,1,P,P,P,P_P-P,Анекдоты про экзамены были обидными для строгого пожилого учителя.,"[0.008278090506792068, 0.002537354128435254, 0.029813507571816444, 0.006020429544150829, 0.024445775896310806, 0.04684654250741005, 0.023987509310245514, 0.011860199272632599, 0.0030455931555479765, 0.00778625812381506, 0.002932431176304817, 0.0036125408951193094]","[0.0016889172839000821, 0.00039716929313726723, 0.0020514742936939, 0.001169251394458115, 0.00014849645958747715, 0.014116144739091396, 0.002020749729126692, 0.001848648302257061, 0.001806246000342071, 0.00028532915166579187, 0.0006956076249480247, 0.00035957968793809414]"
15,8,2,1,S,S,S,S_S-S,Анекдот про экзамен был обидным для строгого пожилого учителя.,"[0.021270453929901123, 0.0021247609984129667, 0.06320221722126007, 0.013531606644392014, 0.03441905975341797, 0.06657102704048157, 0.04079028591513634, 0.014868088066577911, 0.007175499573349953, 0.007838930934667587, 0.004294734913855791, 0.0051483348943293095]","[0.0027942294254899025, 0.0007348705548793077, 0.002470731968060136, 0.0027398476377129555, 0.00032211802317760885, 0.011697274632751942, 0.00364043191075325, 0.0022320696152746677, 0.005127346608787775, 0.00038567432784475386, 0.0014232030371204019, 0.0010034141596406698]"
16,1,3,1,S,P,S,S_S-P,Арка во дворы была проделана в несущей конструкции здания,"[0.06316231191158295, 0.0018168037058785558, 0.019853834062814713, 0.004846631083637476, 0.028631849214434624, 0.07275707274675369, 0.06956914812326431, 0.016301855444908142, 0.001552511123009026, 0.016720160841941833, 0.0005805640248581767, 0.0023041493259370327]","[0.012628988362848759, 0.0005844549741595984, 0.01713840290904045, 0.001034690416418016, 0.03355371952056885, 0.03669920936226845, 0.01530754379928112, 0.01419078465551138, 0.00018107020878233016, 0.11144610494375229, 0.00016476765449624509, 0.0012138187885284424]"
17,2,3,1,S,P,P,P_S-P,Арка во дворы были проделаны в несущей конструкции здания,"[0.04979540407657623, 0.0013369838707149029, 0.02767997980117798, 0.0029472995083779097, 0.023479659110307693, 0.09007884562015533, 0.03699344024062157, 0.015546273440122604, 0.0011642645113170147, 0.013629281893372536, 0.0004454206209629774, 0.002062273444607854]","[0.01275731809437275, 0.0007834355928935111, 0.01486692763864994, 0.0012139653554186225, 0.030662288889288902, 0.03933683782815933, 0.011795591562986374, 0.013762764632701874, 0.00029459039797075093, 0.08520305156707764, 0.0003614839515648782, 0.0012133956188336015]"
18,3,3,1,P,S,S,S_P-S,Арки во двор была проделана в несущей конструкции здания,"[0.037146568298339844, 0.0009513575350865722, 0.04294005408883095, 0.00357333617284894, 0.03295978158712387, 0.06114424392580986, 0.042265988886356354, 0.019000358879566193, 0.0012613233411684632, 0.02167406864464283, 0.0006911047385074198, 0.004034247249364853]","[0.05096910893917084, 0.0006396125536412001, 0.04334806278347969, 0.0013412206899374723, 0.11429351568222046, 0.058840855956077576, 0.054821353405714035, 0.027939792722463608, 5.7468532759230584e-05, 0.1233556717634201, 0.00017803872469812632, 0.0019033248536288738]"
19,4,3,1,P,S,P,P_P-S,Арки во двор были проделаны в несущей конструкции здания,"[0.045431677252054214, 0.0011696533765643835, 0.02803775668144226, 0.004774551838636398, 0.027111556380987167, 0.06914873421192169, 0.04167534410953522, 0.014252129010856152, 0.0007889535627327859, 0.021734297275543213, 0.0008893635822460055, 0.0019337462726980448]","[0.05753408372402191, 0.0009128568926826119, 0.029502367600798607, 0.0017794237937778234, 0.08742817491292953, 0.06652408093214035, 0.030644256621599197, 0.04338780790567398, 6.42295999568887e-05, 0.1414041966199875, 0.00022396811982616782, 0.001064126379787922]"
20,5,3,1,P,P,S,S_P-P,Арки во дворы была проделана в несущей конструкции здания,"[0.039033643901348114, 0.001740792184136808, 0.032098691910505295, 0.005123733077198267, 0.043436720967292786, 0.06369239836931229, 0.054136935621500015, 0.027428114786744118, 0.0017681202152743936, 0.020475298166275024, 0.0011069235624745488, 0.006241100374609232]","[0.007443820126354694, 0.0003201451036147773, 0.012926220893859863, 0.0006070224335417151, 0.03926558047533035, 0.028096521273255348, 0.018813256174325943, 0.008802206255495548, 0.00011615131370490417, 0.09962984919548035, 9.385577868670225e-05, 0.001182704116217792]"
21,6,3,1,P,P,P,P_P-P,Арки во дворы были проделаны в несущей конструкции здания,"[0.04912279173731804, 0.0016511792782694101, 0.022594159469008446, 0.006475208792835474, 0.03147808834910393, 0.057929009199142456, 0.05259866267442703, 0.015233590267598629, 0.0011100153205916286, 0.01630740612745285, 0.0014660268789157271, 0.0027633593417704105]","[0.013339323922991753, 0.0006949317175894976, 0.014963584952056408, 0.001604708842933178, 0.03516579046845436, 0.03606150299310684, 0.014056013897061348, 0.01600291207432747, 0.00023955389042384923, 0.10672599822282791, 0.00033123031607829034, 0.0011667747749015689]"
22,7,3,1,S,S,S,S_S-S,Арка во двор была проделана в несущей конструкции здания,"[0.05726489797234535, 0.0012744744308292866, 0.02335267886519432, 0.00400356762111187, 0.022053323686122894, 0.06323131918907166, 0.06509803980588913, 0.01189838070422411, 0.0011384281096979976, 0.017198381945490837, 0.0003193967859260738, 0.0018389502074569464]","[0.04353141039609909, 0.0009300207020714879, 0.03387484699487686, 0.0014766044914722443, 0.08673052489757538, 0.06823094934225082, 0.031663618981838226, 0.03177904337644577, 7.551199087174609e-05, 0.12013044953346252, 0.0001367395743727684, 0.001983036519959569]"
23,8,3,1,S,S,P,P_S-S,Арка во двор были проделаны в несущей конструкции здания,"[0.03383885696530342, 0.0014086149167269468, 0.02271004393696785, 0.0025183502584695816, 0.016862213611602783, 0.0720307007431984, 0.022906647995114326, 0.01000439003109932, 0.0009220447391271591, 0.01327453926205635, 0.00032511731842532754, 0.001955380430445075]","[0.033952489495277405, 0.001082204864360392, 0.01668524369597435, 0.001405385322868824, 0.07920773327350616, 0.05723097175359726, 0.015546392649412155, 0.021879909560084343, 6.152746209409088e-05, 0.08272022008895874, 0.000229904122534208, 0.0007416342850774527]"
24,1,4,1,S,P,P,P_S-P,Атака на крепости были безуспешными из-за стратегической ошибки полководца.,"[0.005361407995223999, 0.00041927839629352093, 0.01232533436268568, 0.0028850107919424772, 0.0044921827502548695, 0.01473414059728384, 0.0060994611121714115, 0.006153360474854708, 0.000457414542324841, 0.007068405393511057, 0.0005657628062181175, 0.003325285390019417]","[0.03160320594906807, 0.0004287697374820709, 0.0016772131202742457, 0.0020001991651952267, 0.0026254653930664062, 0.004895841237157583, 0.0060682035982608795, 0.0019387053325772285, 0.00034092695568688214, 0.005347094032913446, 0.0005884339916519821, 0.0006170962005853653]"
25,2,4,1,P,S,S,S_P-S,Атаки на крепость была безуспешной из-за стратегической ошибки полководца.,"[0.0040857018902897835, 0.00021239947818685323, 0.012805650010704994, 0.0032340562902390957, 0.004034940153360367, 0.012809386476874352, 0.010228976607322693, 0.00229077972471714, 0.0008038699743337929, 0.004833600018173456, 0.00037506275111809373, 0.002485628006979823]","[0.07351012527942657, 0.0008382900850847363, 0.0057988958433270454, 0.006247530225664377, 0.009823660366237164, 0.007834205403923988, 0.010401233099400997, 0.004835427738726139, 0.0007688860641792417, 0.008798609487712383, 0.0009616917814128101, 0.000997881288640201]"
26,3,4,1,P,S,P,P_P-S,Атаки на крепость были безуспешными из-за стратегической ошибки полководца.,"[0.005003208294510841, 0.0003976754378527403, 0.009501890279352665, 0.006150942295789719, 0.003558114869520068, 0.012872166000306606, 0.004917963873594999, 0.0036482999566942453, 0.0007878984324634075, 0.005054757464677095, 0.0005573070957325399, 0.0031696949154138565]","[0.035763051360845566, 0.000583197339437902, 0.002456683898344636, 0.005710869561880827, 0.0038132276386022568, 0.005691813305020332, 0.006713526323437691, 0.0025135697796940804, 0.0007141554378904402, 0.0065355547703802586, 0.0007004037033766508, 0.0006156715680845082]"
27,4,4,1,P,P,S,S_P-P,Атаки на крепости была безуспешной из-за стратегической ошибки полководца.,"[0.00649487366899848, 0.0002494891232345253, 0.018620679154992104, 0.0035081803798675537, 0.005751096643507481, 0.014499078504741192, 0.014103362336754799, 0.0033064931631088257, 0.0006292009493336082, 0.0069497814401984215, 0.0005489538889378309, 0.0027364655397832394]","[0.061672598123550415, 0.0008038856321945786, 0.004437596071511507, 0.0032519965898245573, 0.006958954967558384, 0.007328893058001995, 0.010001014918088913, 0.004418949130922556, 0.0007554463809356093, 0.00725000211969018, 0.0010532410815358162, 0.0009457051637582481]"
28,5,4,1,P,P,P,P_P-P,Атаки на крепости были безуспешными из-за стратегической ошибки полководца.,"[0.006963564082980156, 0.0003999084292445332, 0.011448554694652557, 0.0046729897148907185, 0.004398631863296032, 0.015074552036821842, 0.0056406124494969845, 0.004631508607417345, 0.0007137356442399323, 0.006837023887783289, 0.000513182720169425, 0.003356106346473098]","[0.03147926181554794, 0.0004811606777366251, 0.002024573739618063, 0.002659119665622711, 0.003200392471626401, 0.005410557612776756, 0.006890179123729467, 0.0025205702986568213, 0.0006374699878506362, 0.006484555080533028, 0.0005999273853376508, 0.0004679047269746661]"
29,6,4,1,S,S,S,S_S-S,Атака на крепость была безуспешной из-за стратегической ошибки полководца.,"[0.0039338176138699055, 0.0003211077710147947, 0.01276727020740509, 0.005075292661786079, 0.004155346658080816, 0.01142858061939478, 0.01007509883493185, 0.004481310956180096, 0.001311668660491705, 0.003120273817330599, 0.000342017796356231, 0.0021425816230475903]","[0.04693567007780075, 0.0010595860658213496, 0.0040411679074168205, 0.008036566898226738, 0.006936352699995041, 0.007987183518707752, 0.008009014651179314, 0.005484540946781635, 0.0011222973698750138, 0.005121887195855379, 0.0007017977768555284, 0.0015644188970327377]"
30,7,4,1,S,S,P,P_S-S,Атака на крепость были безуспешными из-за стратегической ошибки полководца.,"[0.0039045549929142, 0.00041133747436106205, 0.009517184458673, 0.0033351248130202293, 0.0035734300035983324, 0.013096342794597149, 0.0050560240633785725, 0.004224548581987619, 0.0005289650871418417, 0.0048110210336744785, 0.0005560609861277044, 0.0029895578045397997]","[0.035821836441755295, 0.0005454874481074512, 0.001959071960300207, 0.004286349751055241, 0.003435559570789337, 0.005313744768500328, 0.005609533283859491, 0.0021323449909687042, 0.0004174433706793934, 0.004633938893675804, 0.000614207296166569, 0.0007365272031165659]"
31,8,4,1,S,P,S,S_S-P,Атака на крепости была безуспешной из-за стратегической ошибки полководца.,"[0.005424875300377607, 0.0004580557288136333, 0.016377311199903488, 0.005263143219053745, 0.00490117073059082, 0.011259922757744789, 0.010539138689637184, 0.006887470837682486, 0.0012699604267254472, 0.003890161169692874, 0.00047054808237589896, 0.003293632762506604]","[0.04567354544997215, 0.000723033444955945, 0.0032614353112876415, 0.004006949253380299, 0.005496779456734657, 0.00656369561329484, 0.007231306284666061, 0.004401707090437412, 0.0008937785169109702, 0.0041329022496938705, 0.000562873319722712, 0.0011200980516150594]"
32,1,5,1,P,S,S,S_P-S,Билеты в музей был утерян во время уличной демонстрации.,"[0.011600027792155743, 0.0005725987139157951, 0.020735731348395348, 0.0026853056624531746, 0.0296211838722229, 0.01281699538230896, 0.029387200251221657, 0.00647759111598134, 0.0026732191909104586, 0.002039908431470394, 0.0019253104692324996, 0.007326807361096144]","[0.03050527535378933, 0.006153593771159649, 0.022305723279714584, 0.015334959141910076, 0.026581205427646637, 0.04332474246621132, 0.034390129148960114, 0.008505894802510738, 0.007071823347359896, 0.008453011512756348, 0.011923437938094139, 0.013602682389318943]"
33,2,5,1,P,S,P,P_P-S,Билеты в музей были утеряны во время уличной демонстрации.,"[0.009522237814962864, 0.0011042696423828602, 0.013684064149856567, 0.0020889383740723133, 0.02664283663034439, 0.012586602009832859, 0.020617341622710228, 0.005247751250863075, 0.004577529616653919, 0.00171088264323771, 0.0052390554919838905, 0.00713263638317585]","[0.03655743971467018, 0.002866877242922783, 0.021667301654815674, 0.004150455351918936, 0.01897473633289337, 0.04432433843612671, 0.022544661536812782, 0.004061050713062286, 0.002033779863268137, 0.010018564760684967, 0.0032180105336010456, 0.005334168206900358]"
34,3,5,1,P,P,S,S_P-P,Билеты в музеи был утерян во время уличной демонстрации.,"[0.020493799820542336, 0.0007819791790097952, 0.023508524522185326, 0.002316785044968128, 0.04150616005063057, 0.012242714874446392, 0.025354012846946716, 0.008118878118693829, 0.0025759257841855288, 0.002400229452177882, 0.002950923750177026, 0.007041798904538155]","[0.00477213878184557, 0.0012127395020797849, 0.009442657232284546, 0.002253597369417548, 0.006511925254017115, 0.02702399156987667, 0.008113016374409199, 0.0037990512792021036, 0.00360344466753304, 0.021718233823776245, 0.003956610802561045, 0.002559204585850239]"
35,4,5,1,P,P,P,P_P-P,Билеты в музеи были утеряны во время уличной демонстрации.,"[0.014780833385884762, 0.0010958090424537659, 0.013896594755351543, 0.002047700807452202, 0.03904784098267555, 0.011531702242791653, 0.01436823233962059, 0.0069987475872039795, 0.003770677139982581, 0.001792490715160966, 0.006222177762538195, 0.006845877040177584]","[0.004319183528423309, 0.0011255020508542657, 0.0095689557492733, 0.0014938957756385207, 0.0031033032573759556, 0.020658858120441437, 0.007330087944865227, 0.0020643824245780706, 0.0023854156024754047, 0.018805185332894325, 0.0016145948320627213, 0.0018218520563095808]"
36,5,5,1,S,S,S,S_S-S,Билет в музей был утерян во время уличной демонстрации.,"[0.042593978345394135, 0.0008009489392861724, 0.012598484754562378, 0.0053372555412352085, 0.07772737741470337, 0.01577228307723999, 0.031468529254198074, 0.007884402759373188, 0.0024265984538942575, 0.0007773978868499398, 0.00305059808306396, 0.0065943337976932526]","[0.02026805281639099, 0.003288839478045702, 0.014202263206243515, 0.010096963495016098, 0.01898736134171486, 0.033292368054389954, 0.02113945037126541, 0.004875729326158762, 0.003342787967994809, 0.008599353954195976, 0.005558073054999113, 0.010588857345283031]"
37,6,5,1,S,S,P,P_S-S,Билет в музей были утеряны во время уличной демонстрации.,"[0.05039039999246597, 0.000325626228004694, 0.013999922201037407, 0.0022405486088246107, 0.0583902969956398, 0.021225031465291977, 0.017290424555540085, 0.005019846837967634, 0.001023201970383525, 0.0010728294728323817, 0.004464642610400915, 0.0035873502492904663]","[0.021681178361177444, 0.0014267314691096544, 0.014197039417922497, 0.0027783969417214394, 0.01581486500799656, 0.03311409801244736, 0.01605887897312641, 0.002960210433229804, 0.0010502127697691321, 0.006753901951014996, 0.0016547900158911943, 0.0026960778050124645]"
38,7,5,1,S,P,S,S_S-P,Билет в музеи был утерян во время уличной демонстрации.,"[0.06834582984447479, 0.001252605696208775, 0.012356948107481003, 0.004887296352535486, 0.12546977400779724, 0.015981052070856094, 0.020879510790109634, 0.009057731367647648, 0.0023423691745847464, 0.000702591729350388, 0.0044439248740673065, 0.005891560576856136]","[0.0026524451095610857, 0.00141114741563797, 0.006522815674543381, 0.0025278576649725437, 0.0022200713865458965, 0.017533913254737854, 0.007294904440641403, 0.0023089430760592222, 0.0034242691472172737, 0.018580354750156403, 0.003952819388359785, 0.0037543780636042356]"
39,8,5,1,S,P,P,P_S-P,Билет в музеи были утеряны во время уличной демонстрации.,"[0.06732045114040375, 0.0008077641832642257, 0.01818212866783142, 0.002517686691135168, 0.08621528744697571, 0.02432725764811039, 0.013503310270607471, 0.008351974189281464, 0.001545354025438428, 0.0012818973045796156, 0.00900227576494217, 0.005640053190290928]","[0.003209784161299467, 0.0010612591868266463, 0.009362662211060524, 0.0014466209104284644, 0.0028566981200128794, 0.021344581618905067, 0.006675333715975285, 0.002304578898474574, 0.0017761834897100925, 0.02458365447819233, 0.0008730456465855241, 0.0015490929363295436]"
40,1,6,1,P,S,P,P_P-S,Взгляды на снимок были брошены из-под длинных опущенных ресниц.,"[0.0044588493183255196, 0.0009696732740849257, 0.011651994660496712, 0.0022313876543194056, 0.0052772341296076775, 0.01942877471446991, 0.005252293776720762, 0.0032792165875434875, 0.0019612787291407585, 0.006105722859501839, 0.00043006197665818036, 0.0017277796287089586]","[0.0031531990971416235, 0.0005970355705358088, 0.0076098013669252396, 0.0012862413423135877, 0.001181138097308576, 0.0042938231490552425, 0.008068768307566643, 0.0029101932886987925, 0.007288320455700159, 0.004381780978292227, 0.00021781634131912142, 0.0010109017603099346]"
41,2,6,1,P,P,S,S_P-P,Взгляды на снимки был брошен из-под длинных опущенных ресниц.,"[0.0037322789430618286, 0.0005687160301022232, 0.011175708845257759, 0.0028491707053035498, 0.004453693516552448, 0.014700107276439667, 0.0049322377890348434, 0.002719484269618988, 0.001040671719238162, 0.0030141889583319426, 0.00029423279920592904, 0.0010107296984642744]","[0.0009614674490876496, 0.0003096233995165676, 0.004419764969497919, 0.0009466540068387985, 0.0007930388674139977, 0.00360283930785954, 0.004159623757004738, 0.0015432201325893402, 0.004443172365427017, 0.0020504684653133154, 0.00010094032040797174, 0.0002742279611993581]"
42,3,6,1,P,P,P,P_P-P,Взгляды на снимки были брошены из-под длинных опущенных ресниц.,"[0.005821282044053078, 0.000902612111531198, 0.011919321492314339, 0.0024766114074736834, 0.006149559747427702, 0.019125957041978836, 0.006310706026852131, 0.003831298090517521, 0.0018734500044956803, 0.006506686098873615, 0.0004458028997760266, 0.001805137493647635]","[0.0028793110977858305, 0.0007899065385572612, 0.006789012346416712, 0.0012132105184718966, 0.0013199023669585586, 0.005426972638815641, 0.008235656656324863, 0.002184519777074456, 0.009339675307273865, 0.004163800273090601, 0.00031336574465967715, 0.0008872502949088812]"
43,4,6,1,S,S,S,S_S-S,Взгляд на снимок был брошен из-под длинных опущенных ресниц.,"[0.008104274049401283, 0.000581384461838752, 0.01594717428088188, 0.0041248188354074955, 0.0055319517850875854, 0.018058644607663155, 0.0054357293993234634, 0.0025638011284172535, 0.002413305686786771, 0.004439452197402716, 0.0003314064524602145, 0.002813722239807248]","[0.00218292442150414, 0.00033917868859134614, 0.006826313678175211, 0.0009159505716525018, 0.0009977516019716859, 0.0035142432898283005, 0.007097579073160887, 0.0026898421347141266, 0.009386085905134678, 0.005243292078375816, 0.0002526906318962574, 0.0012753730406984687]"
44,5,6,1,S,S,P,P_S-S,Взгляд на снимок были брошены из-под длинных опущенных ресниц.,"[0.014023762196302414, 0.0005337395705282688, 0.020998073741793633, 0.0027900526765733957, 0.004659502301365137, 0.022715454921126366, 0.005022853147238493, 0.0029535989742726088, 0.001606759033165872, 0.006297890096902847, 0.00034939878969453275, 0.0035590194165706635]","[0.0023877315688878298, 0.00046692416071891785, 0.007031832356005907, 0.000977726187556982, 0.0006066954229027033, 0.003817498916760087, 0.005944801028817892, 0.0019807990174740553, 0.008407754823565483, 0.005062742158770561, 0.00018845869635697454, 0.0007723149028606713]"
45,6,6,1,S,P,S,S_S-P,Взгляд на снимки был брошен из-под длинных опущенных ресниц.,"[0.010755321942269802, 0.0007031947025097907, 0.015337049961090088, 0.0050027682445943356, 0.007340345531702042, 0.01880822144448757, 0.007495105266571045, 0.0037465107161551714, 0.0028249770402908325, 0.005089927464723587, 0.00037298191455192864, 0.0029926386196166277]","[0.0014445530250668526, 0.0003632029693108052, 0.006132072303444147, 0.0009724466945044696, 0.0006548406672663987, 0.005109645891934633, 0.004803745076060295, 0.0018649650737643242, 0.005763654131442308, 0.00521147670224309, 0.00014595150423701853, 0.00048172520473599434]"
